title,link,salary,company,area,update_time,exp_title,education,com_type
Basketball Coach and Physical Education Teacher ,http://www.jobleadchina.com/job/4868,13K/MTH - 19K/MTH,Ray Sports,Guangzhou,"Post time: January 22, 2020",Experience: Associate,Any education,Others
Kindergarten Foreign teachers  in Chengdu China ,http://www.jobleadchina.com/job/5356,16K/MTH - 22K/MTH,SII Internship,Chengdu,"Post time: January 20, 2020",Experience: Mid-Senior Level,Bachelor,Consultancy/Legal/Admin
Foreign Kindergarten Teacher,http://www.jobleadchina.com/job/5355,15K/MTH - 18K/MTH,Hailiang ECE,Hangzhou,"Post time: January 20, 2020",Experience: Associate,Bachelor,School
Teaching and travelling in China,http://www.jobleadchina.com/job/1228,20K/MTH - 25K/MTH,ESL recruiting team,Shanghai,"Post time: January 19, 2020",Experience: Entry Level,Any education,Teaching Center
Kindergarten Foreign teachers,http://www.jobleadchina.com/job/5353,16K/MTH - 22K/MTH,SII Internship,Chengdu,"Post time: January 17, 2020",Experience: Executive,Bachelor,Consultancy/Legal/Admin
#asap 19k-24k!!ESL teacher for international schoo,http://www.jobleadchina.com/job/5352,19K/MTH - 24K/MTH,Intl Recruit,Tianjin,"Post time: January 17, 2020",Experience: Entry Level,Bachelor,Teaching Center
ESL teacher position in international school in Ti,http://www.jobleadchina.com/job/5351,17K/MTH - 22K/MTH,Intl Recruit,Tianjin,"Post time: January 17, 2020",Experience: Entry Level,Bachelor,Teaching Center
Subject teachers needed for international school i,http://www.jobleadchina.com/job/5350,20K/MTH - 26K/MTH,Intl Recruit,Tianjin,"Post time: January 17, 2020",Experience: Entry Level,Bachelor,Teaching Center
#ASAP Kindergarten teacher wanted in Chongqing,http://www.jobleadchina.com/job/5349,17K/MTH - 18K/MTH,Intl Recruit,Chongqing,"Post time: January 17, 2020",Experience: Entry Level,Bachelor,Teaching Center
#ASAP #hiring #ESL Teachers and Subject Teachers F,http://www.jobleadchina.com/job/5348,22K/MTH - 28K/MTH,Intl Recruit,Xi'an,"Post time: January 17, 2020",Experience: Entry Level,Bachelor,Teaching Center
▲ASAP▲ESL homeroom teacher Needed for Internationa,http://www.jobleadchina.com/job/5347,17K/MTH - 17K/MTH,Intl Recruit,Shanghai,"Post time: January 17, 2020",Experience: Entry Level,Bachelor,Teaching Center
English Teaching Position in International Kinderg,http://www.jobleadchina.com/job/5346,17K/MTH - 20K/MTH,Intl Recruit,Chongqing,"Post time: January 17, 2020",Experience: Entry Level,Bachelor,Teaching Center
ESL English Teacher Needed for Primary School in G,http://www.jobleadchina.com/job/5345,16K/MTH - 18K/MTH,Intl Recruit,Guangzhou,"Post time: January 17, 2020",Experience: Entry Level,Bachelor,Teaching Center
★★ESL jobs in China with competitive salary★★ NO E,http://www.jobleadchina.com/job/5344,10000K/MTH - 20000K/MTH,ESL JOB IN CHINA,Beijing,"Post time: January 17, 2020",Experience: Entry Level,Bachelor,School
Public kindergarten Hire  for Shangdong province,http://www.jobleadchina.com/job/5343,15K/MTH - 20K/MTH,Beijing Risun Hongwen,Others,"Post time: January 17, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
International School Needed TOEFL and LELTS Teache,http://www.jobleadchina.com/job/5342,20K/MTH - 30K/MTH,Beijing Risun Hongwen,Others,"Post time: January 17, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
"15k , ESL teacher in Guangzhou Public Middle Schoo",http://www.jobleadchina.com/job/5341,12K/MTH - 15K/MTH,Beijing risunhongwen International Culture Exchang,Guangzhou,"Post time: January 16, 2020",Experience: Entry Level,Bachelor,Others
22-30k Subject teachers needed for High school in ,http://www.jobleadchina.com/job/5340,22K/MTH - 30K/MTH,Intl Recruit,Others,"Post time: January 16, 2020",Experience: Entry Level,Bachelor,Teaching Center
ESL English teacher positions for middle school in,http://www.jobleadchina.com/job/5339,18K/MTH - 21K/MTH,Intl Recruit,Others,"Post time: January 16, 2020",Experience: Entry Level,Bachelor,Teaching Center
20k-23k!Native English Teacher needed for Kinderga,http://www.jobleadchina.com/job/5338,20K/MTH - 23K/MTH,Intl Recruit,Others,"Post time: January 16, 2020",Experience: Entry Level,Bachelor,Teaching Center
IB MYP/DP Candidate School Principal in Beijing,http://www.jobleadchina.com/job/5337,50K/MTH - 50K/MTH,Intl Recruit,Beijing,"Post time: January 16, 2020",Experience: Entry Level,Bachelor,Teaching Center
#urgent hiring 20k-24k #Kindergarten Homeroom Teac,http://www.jobleadchina.com/job/5336,20K/MTH - 24K/MTH,Intl Recruit,Nanjing,"Post time: January 16, 2020",Experience: Entry Level,Bachelor,Teaching Center
English and Art teacher position for Kindergarten ,http://www.jobleadchina.com/job/5335,13K/MTH - 18K/MTH,Intl Recruit,Others,"Post time: January 16, 2020",Experience: Entry Level,Bachelor,Teaching Center
Beijing Public School need start from 17th Feb,http://www.jobleadchina.com/job/5334,12K/MTH - 15K/MTH,Beijing risunhongwen International Culture Exchang,Beijing,"Post time: January 15, 2020",Experience: Entry Level,Bachelor,Others
Shenzhen Primary school Hire  Math Teacher!！！,http://www.jobleadchina.com/job/5333,23K/MTH - 28K/MTH,Beijing Risun Hongwen,Others,"Post time: January 15, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
ASAP ！！！Public  School Hire 2 ESL Teacher Now ! ,http://www.jobleadchina.com/job/5332,13K/MTH - 17K/MTH,Beijing Risun Hongwen,Others,"Post time: January 15, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
Guangxi Foreigh Language School Hire 2 ESL Teacher,http://www.jobleadchina.com/job/5331,16K/MTH - 23K/MTH,Beijing Risun Hongwen,Others,"Post time: January 14, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
Guangzhou kindergarten Still Needed Native ESL Tea,http://www.jobleadchina.com/job/5330,15K/MTH - 23K/MTH,Beijing Risun Hongwen,Others,"Post time: January 14, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
ESL Teacher needed in Experimental School in Jiaxi,http://www.jobleadchina.com/job/5329,16K/MTH - 28K/MTH,Intl Recruit,Others,"Post time: January 14, 2020",Experience: Entry Level,Bachelor,Teaching Center
ESL Teacher Position in Kindergarten in Foshan,http://www.jobleadchina.com/job/5328,16K/MTH - 19K/MTH,Intl Recruit,Others,"Post time: January 14, 2020",Experience: Entry Level,Bachelor,Teaching Center
18k-21k!!ESL English teacher needed in Guangzhou,http://www.jobleadchina.com/job/5327,18K/MTH - 21K/MTH,Intl Recruit,Guangzhou,"Post time: January 14, 2020",Experience: Entry Level,Bachelor,Teaching Center
English homeroom teacher in Shanghai!!20-28k plus ,http://www.jobleadchina.com/job/5326,20K/MTH - 28K/MTH,Intl Recruit,Shanghai,"Post time: January 14, 2020",Experience: Entry Level,Bachelor,Teaching Center
35k-50k!!Looking for a Singaporean for Internation,http://www.jobleadchina.com/job/5325,35K/MTH - 50K/MTH,Intl Recruit,Shanghai,"Post time: January 14, 2020",Experience: Executive,Bachelor,Teaching Center
20k-32k!!Mathematics teacher for International Sch,http://www.jobleadchina.com/job/5324,20K/MTH - 32K/MTH,Intl Recruit,Tianjin,"Post time: January 14, 2020",Experience: Entry Level,Bachelor,Teaching Center
ESL position for International Kindergarten in Mul,http://www.jobleadchina.com/job/5323,16K/MTH - 23K/MTH,Intl Recruit,Others,"Post time: January 14, 2020",Experience: Entry Level,Bachelor,Teaching Center
Foreign Kindergarten Teacher,http://www.jobleadchina.com/job/5321,15K/MTH - 18K/MTH,Hailiang ECE,Hangzhou,"Post time: January 14, 2020",Experience: Associate,Bachelor,School
Beijing Kindergarten ESL Teacher,http://www.jobleadchina.com/job/5320,15K/MTH - 20K/MTH,Beijing Risun Hongwen,Beijing,"Post time: January 13, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
Middle School Wanted 2 ESL Teacher in Guangzhou Ci,http://www.jobleadchina.com/job/5319,18K/MTH - 21K/MTH,Beijing Risun Hongwen,Others,"Post time: January 13, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
Public School Needed Foreigh Subject  Teacher,http://www.jobleadchina.com/job/5318,14K/MTH - 18K/MTH,Beijing Risun Hongwen,Others,"Post time: January 13, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
ESL teacher position in international school in Ti,http://www.jobleadchina.com/job/5317,17K/MTH - 22K/MTH,Intl Recruit,Tianjin,"Post time: January 13, 2020",Experience: Entry Level,Bachelor,Teaching Center
Subject teachers needed for international school i,http://www.jobleadchina.com/job/5316,20K/MTH - 26K/MTH,Intl Recruit,Tianjin,"Post time: January 13, 2020",Experience: Entry Level,Bachelor,Teaching Center
"A Curriculum Designer wanted at i2 Education, Guan",http://www.jobleadchina.com/job/5315,22K/MTH - 22K/MTH,Intl Recruit,Guangzhou,"Post time: January 13, 2020",Experience: Entry Level,Bachelor,Teaching Center
Wanted!! Kindergarten Teacher for International Sc,http://www.jobleadchina.com/job/5314,18K/MTH - 25K/MTH,Intl Recruit,Others,"Post time: January 13, 2020",Experience: Entry Level,Bachelor,Teaching Center
#ASAP Kindergarten teacher wanted in Chongqing,http://www.jobleadchina.com/job/5313,17K/MTH - 18K/MTH,Intl Recruit,Chongqing,"Post time: January 13, 2020",Experience: Entry Level,Bachelor,Teaching Center
Looking for a Principle for Kindergarten in Changs,http://www.jobleadchina.com/job/5312,42K/MTH - 58K/MTH,Intl Recruit,Others,"Post time: January 13, 2020",Experience: Entry Level,Bachelor,Teaching Center
#asap Native English Teachers Needed for Kindergar,http://www.jobleadchina.com/job/5311,20K/MTH - 21K/MTH,Intl Recruit,Chengdu,"Post time: January 13, 2020",Experience: Entry Level,Bachelor,Teaching Center
ESL English Teacher and Subject Teachers Needed in,http://www.jobleadchina.com/job/5310,16K/MTH - 28K/MTH,Intl Recruit,Others,"Post time: January 13, 2020",Experience: Entry Level,Bachelor,Teaching Center
22-30k Subject teachers needed for High school in ,http://www.jobleadchina.com/job/5309,22K/MTH - 30K/MTH,Intl Recruit,Others,"Post time: January 13, 2020",Experience: Entry Level,Bachelor,Teaching Center
ESL English teacher positions for middle school in,http://www.jobleadchina.com/job/5308,18K/MTH - 21K/MTH,Intl Recruit,Others,"Post time: January 13, 2020",Experience: Entry Level,Bachelor,Teaching Center
20k-23k!Native English Teacher needed for Kinderga,http://www.jobleadchina.com/job/5307,20K/MTH - 23K/MTH,Intl Recruit,Others,"Post time: January 13, 2020",Experience: Entry Level,Bachelor,Teaching Center
Guangdong Private School Needed ESL Teacher ASAP,http://www.jobleadchina.com/job/5306,13K/MTH - 17K/MTH,Beijing Risun Hongwen,Guangzhou,"Post time: January 10, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
#ASAP Kindergarten teacher wanted in Chongqing,http://www.jobleadchina.com/job/5305,17K/MTH - 18K/MTH,Intl Recruit,Others,"Post time: January 10, 2020",Experience: Entry Level,Bachelor,Teaching Center
#ASAP #hiring #ESL Teachers and Subject Teachers F,http://www.jobleadchina.com/job/5304,22K/MTH - 28K/MTH,Intl Recruit,Xi'an,"Post time: January 10, 2020",Experience: Entry Level,Bachelor,Teaching Center
▲ASAP▲ESL homeroom teacher Needed for Internationa,http://www.jobleadchina.com/job/5303,17K/MTH - 17K/MTH,Intl Recruit,Shanghai,"Post time: January 10, 2020",Experience: Entry Level,Bachelor,Teaching Center
ASAP#18k-19k-ESL English Teacher Needed in Guangzh,http://www.jobleadchina.com/job/5302,18K/MTH - 19K/MTH,Intl Recruit,Guangzhou,"Post time: January 10, 2020",Experience: Entry Level,Bachelor,Teaching Center
ESL English Teaching positions for Kindergarten in,http://www.jobleadchina.com/job/5301,18K/MTH - 19K/MTH,Intl Recruit,Guangzhou,"Post time: January 10, 2020",Experience: Entry Level,Bachelor,Teaching Center
IB MYP/DP Candidate School Principal in Beijing,http://www.jobleadchina.com/job/5300,50K/MTH - 50K/MTH,Intl Recruit,Beijing,"Post time: January 10, 2020",Experience: Entry Level,Bachelor,Teaching Center
Good Bonus!!! Guangxi Provice Foreigh Language Sch,http://www.jobleadchina.com/job/5299,18K/MTH - 22K/MTH,Beijing Risun Hongwen,Others,"Post time: January 10, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
With High Salary Henan Training School Needed ESL ,http://www.jobleadchina.com/job/5298,14K/MTH - 20K/MTH,Beijing Risun Hongwen,Others,"Post time: January 10, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
Guangxi Public School Hire 2 ESL Teacher with good,http://www.jobleadchina.com/job/5297,15K/MTH - 20K/MTH,Beijing Risun Hongwen,Others,"Post time: January 10, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
Confucius Institute Hire Now  2ESL Teacher,http://www.jobleadchina.com/job/5296,15K/MTH - 18K/MTH,Beijing Risun Hongwen,Others,"Post time: January 10, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
13k-17k Public School In Hebei Hire 2 Foreigh Subj,http://www.jobleadchina.com/job/5295,13K/MTH - 17K/MTH,Beijing Risun Hongwen,Others,"Post time: January 10, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
#asap English teacher position in Beijing (no offi,http://www.jobleadchina.com/job/5294,16K/MTH - 20K/MTH,Intl Recruit,Beijing,"Post time: January 09, 2020",Experience: Entry Level,Bachelor,Teaching Center
ESL English teacher positions in multiple cities a,http://www.jobleadchina.com/job/5293,12K/MTH - 18K/MTH,Intl Recruit,Others,"Post time: January 09, 2020",Experience: Entry Level,Bachelor,Teaching Center
#ASAP #ESL English teacher needed for Kindergarten,http://www.jobleadchina.com/job/5292,18K/MTH - 22K/MTH,Intl Recruit,Others,"Post time: January 09, 2020",Experience: Entry Level,Bachelor,Teaching Center
20-25k#ESL English Teacher Position for Internatio,http://www.jobleadchina.com/job/5291,20K/MTH - 25K/MTH,Intl Recruit,Beijing,"Post time: January 09, 2020",Experience: Entry Level,Bachelor,Teaching Center
Kindergarten Principal Position needed in Jiangsu,http://www.jobleadchina.com/job/5290,38K/MTH - 42K/MTH,Intl Recruit,Chengdu,"Post time: January 09, 2020",Experience: Entry Level,Bachelor,Teaching Center
ESL teacher position in international school in Ti,http://www.jobleadchina.com/job/5289,17K/MTH - 22K/MTH,Intl Recruit,Tianjin,"Post time: January 09, 2020",Experience: Entry Level,Bachelor,Teaching Center
Subject teachers needed for international school i,http://www.jobleadchina.com/job/5288,20K/MTH - 26K/MTH,Intl Recruit,Tianjin,"Post time: January 09, 2020",Experience: Entry Level,Bachelor,Teaching Center
"A Curriculum Designer wanted at i2 Education, Guan",http://www.jobleadchina.com/job/5287,22K/MTH - 22K/MTH,Intl Recruit,Guangzhou,"Post time: January 09, 2020",Experience: Entry Level,Bachelor,Teaching Center
"Guangzhou Kindergarten, ESL teacher",http://www.jobleadchina.com/job/5286,15K/MTH - 20K/MTH,Beijing Risun Hongwen,Others,"Post time: January 09, 2020",Experience: Entry Level,Bachelor,Consultancy/Legal/Admin
"15k-20k , ESL teacher in Guangzhou Public Middle S",http://www.jobleadchina.com/job/5285,15K/MTH - 20K/MTH,Beijing risunhongwen International Culture Exchang,Guangzhou,"Post time: January 09, 2020",Experience: Entry Level,Bachelor,Others
Greetings from China: Foreign Teacher Position Ava,http://www.jobleadchina.com/job/5284,7000K/MTH - 18000K/MTH,INJOY Education,Beijing,"Post time: January 09, 2020",Experience: Entry Level,Associate,Consultancy/Legal/Admin
"17-23k,Guangzhou , Kindergarten, ESL teacher",http://www.jobleadchina.com/job/5283,17K/MTH - 23K/MTH,Beijing risunhongwen International Culture Exchang,Guangzhou,"Post time: January 08, 2020",Experience: Entry Level,Bachelor,Others
ASAP #17k-24k# Vice Homeroom Teacher Needed for In,http://www.jobleadchina.com/job/5282,17K/MTH - 24K/MTH,Intl Recruit,Others,"Post time: January 08, 2020",Experience: Entry Level,Bachelor,Teaching Center
ASAP▲20k-30k▲IB MYP Teacher needed for internation,http://www.jobleadchina.com/job/5281,20K/MTH - 30K/MTH,Intl Recruit,Others,"Post time: January 08, 2020",Experience: Entry Level,Bachelor,Teaching Center
Math Teacher Needed for International school in Do,http://www.jobleadchina.com/job/5280,25K/MTH - 35K/MTH,Intl Recruit,Dongguan,"Post time: January 08, 2020",Experience: Entry Level,Bachelor,Teaching Center
