is_hr,city,scale,is_view,name,url,industry,deliver,ad_type,refresh,month_num,cname,ftype,invite,maxsal,job_label,type,day,minsal,uuid
False,北京,50-150人,False,数据标注实习生,https://sxsimg.xiaoyuanzhao.com/14/8F/14689E3F212A0FBA3ABF1BD16441D28F.jpg,计算机/互联网,False,f,02-03,4,香侬科技,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,150,inn_i880hu8qepuh
False,上海,少于15人,False,BI数据分析实习,https://sxsimg.xiaoyuanzhao.com/3D/6C/3D1382E4A285B13C55FFBC398474626C.png,计算机/互联网,False,f,02-03,6,宇络科技,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,120,inn_pfdkng2axvbc
False,南昌,少于15人,False,数据产品实习生,https://sxsimg.xiaoyuanzhao.com/A7/EF/A7190AE80097871D5AF528A1F3A5EBEF.png,计算机/互联网,False,f,02-02,9,贝尔信息,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_qjiiamsawm0h
False,北京,2000人以上,False,数据挖掘实习生-核心广告系统,https://sxsimg.xiaoyuanzhao.com/69/8D/69D89E01806ACAEE6472C6D5D5C7CC8D.jpg,移动互联网,False,f,02-02,3,字节跳动,0,False,400,"{'is_ji': False, 'is_quick': False}",intern,4,400,inn_54pcqax2c4b6
False,北京,2000人以上,False,量化投资实习生,https://sxsimg.xiaoyuanzhao.com/BB/E6/BBC038C4C47BAB855950E4845C3EA6E6.png,计算机/互联网,False,f,02-01,7,京东数科,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,120,inn_zsnc2hmx2yrq
False,西宁,2000人以上,False,数据分析师--西宁,https://sxsimg.xiaoyuanzhao.com/BF/A0/BFC35B81764259089B7632BE0047DAA0.jpg,互联网/移动互联网/电子商务,False,f,01-31,12,亚信科技,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_ppt2oeuwnrhc
False,"北京,深圳,上海,杭州",2000人以上,False,实习数据研发工程师,https://sxsimg.xiaoyuanzhao.com/B3/BD/B38270C858C5B345153874B1EAB091BD.png,计算机/互联网,False,f,01-30,12,阿里巴巴,1,False,250,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_binixnkuwefm
False,北京,2000人以上,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/88/B9/88810A20F8A647FA0CBF93FF048990B9.png,计算机/互联网,False,f,01-29,4,滴滴出行,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,5,250,inn_fuorxauhqt0t
False,北京,2000人以上,False,机器学习实习生,https://sxsimg.xiaoyuanzhao.com/88/B9/88810A20F8A647FA0CBF93FF048990B9.png,计算机/互联网,False,f,01-29,5,滴滴出行,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,4,250,inn_ibgeynydrkqo
False,北京,15-50人,False,数据分析师,https://sxsimg.xiaoyuanzhao.com/AC/ED/AC03C894288409353BE81A86678956ED.png,计算机/互联网,False,f,01-28,12,00DATA,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,120,inn_mzb443ma8z08
False,广州,500-2000人,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/14/E8/144FED05CCF1DFFED342748A63B236E8.png,电子商务,False,f,01-22,3,Fordeal,0,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_1k4o1gm4vkpy
False,上海,50-150人,False,data engineer 实习生,https://sxsimg.xiaoyuanzhao.com/67/80/6769EBB316A328280917EB3B97CB6A80.jpg,互联网 广告,False,f,01-22,6,Artefact,1,False,250,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_6m2bdan76q2t
False,北京,500-2000人,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/3D/31/3DFFD4ED4083B7B51971DC8210DEAD31.png,移动互联网,False,f,01-22,3,网易有道,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,4,250,inn_ezjwvz2njkdn
False,北京,2000人以上,False,软件开发工程师,https://sxsimg.xiaoyuanzhao.com/04/11/04C44C9C7187F8CF2A5239FAC0B95511.jpg,计算机/互联网,False,f,01-21,3,京东,1,False,250,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_muwmdix0ldzg
False,上海,2000人以上,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/57/57/57F680C0D050B0CCAAA912FC45A90357.png,计算机/互联网,False,f,01-20,8,安客诚信息,1,False,140,"{'is_ji': False, 'is_quick': False}",intern,4,120,inn_gotsiptkwv0d
False,上海,500-2000人,False,【日常实习】数据分析师,https://sxsimg.xiaoyuanzhao.com/A8/7F/A81B3D80F48E3D6552397E58561FC77F.png,互联网,False,f,01-19,3,PayPal,0,False,250,"{'is_ji': False, 'is_quick': False}",intern,4,180,inn_lsx5uqwicwom
False,全国,2000人以上,False,销售代表,https://sxsimg.xiaoyuanzhao.com/21/4F/21C2298926D6A3607B676DABB0CD764F.png,生活服务,False,f,01-19,12,乐有家,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,6,250,inn_zzhajnns8mpj
False,北京,500-2000人,False,安全工程师,https://sxsimg.xiaoyuanzhao.com/F2/D6/F2DCE183DB4D010C49348C45077FD9D6.png,计算机/互联网,False,f,01-19,12,中科院软件所,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,4,100,inn_4amfwd1dkfza
False,北京,15-50人,False,爬虫实习生,https://sxsimg.xiaoyuanzhao.com/6D/37/6D7648EC9FA131431533713E4611AD37.png,计算机/互联网,False,f,01-19,4,繁星数据,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,3,150,inn_0cqvw8t9h3k0
False,成都,500-2000人,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/8B/C8/8B631118D9A7261A28A53FB72C3CBBC8.png,"计算机/互联网,教育培训",False,f,01-17,4,西瓜创客,0,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,120,inn_tvny6amaq8xd
False,北京,50-150人,False,数据标注实习生,https://sxsimg.xiaoyuanzhao.com/14/8F/14689E3F212A0FBA3ABF1BD16441D28F.jpg,计算机/互联网,False,f,02-03,4,香侬科技,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,150,inn_i880hu8qepuh
False,上海,少于15人,False,BI数据分析实习,https://sxsimg.xiaoyuanzhao.com/3D/6C/3D1382E4A285B13C55FFBC398474626C.png,计算机/互联网,False,f,02-03,6,宇络科技,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,120,inn_pfdkng2axvbc
False,南昌,少于15人,False,数据产品实习生,https://sxsimg.xiaoyuanzhao.com/A7/EF/A7190AE80097871D5AF528A1F3A5EBEF.png,计算机/互联网,False,f,02-02,9,贝尔信息,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_qjiiamsawm0h
False,北京,2000人以上,False,数据挖掘实习生-核心广告系统,https://sxsimg.xiaoyuanzhao.com/69/8D/69D89E01806ACAEE6472C6D5D5C7CC8D.jpg,移动互联网,False,f,02-02,3,字节跳动,0,False,400,"{'is_ji': False, 'is_quick': False}",intern,4,400,inn_54pcqax2c4b6
False,北京,2000人以上,False,量化投资实习生,https://sxsimg.xiaoyuanzhao.com/BB/E6/BBC038C4C47BAB855950E4845C3EA6E6.png,计算机/互联网,False,f,02-01,7,京东数科,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,120,inn_zsnc2hmx2yrq
False,西宁,2000人以上,False,数据分析师--西宁,https://sxsimg.xiaoyuanzhao.com/BF/A0/BFC35B81764259089B7632BE0047DAA0.jpg,互联网/移动互联网/电子商务,False,f,01-31,12,亚信科技,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_ppt2oeuwnrhc
False,"北京,深圳,上海,杭州",2000人以上,False,实习数据研发工程师,https://sxsimg.xiaoyuanzhao.com/B3/BD/B38270C858C5B345153874B1EAB091BD.png,计算机/互联网,False,f,01-30,12,阿里巴巴,1,False,250,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_binixnkuwefm
False,北京,2000人以上,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/88/B9/88810A20F8A647FA0CBF93FF048990B9.png,计算机/互联网,False,f,01-29,4,滴滴出行,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,5,250,inn_fuorxauhqt0t
False,北京,2000人以上,False,机器学习实习生,https://sxsimg.xiaoyuanzhao.com/88/B9/88810A20F8A647FA0CBF93FF048990B9.png,计算机/互联网,False,f,01-29,5,滴滴出行,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,4,250,inn_ibgeynydrkqo
False,北京,15-50人,False,数据分析师,https://sxsimg.xiaoyuanzhao.com/AC/ED/AC03C894288409353BE81A86678956ED.png,计算机/互联网,False,f,01-28,12,00DATA,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,120,inn_mzb443ma8z08
False,广州,500-2000人,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/14/E8/144FED05CCF1DFFED342748A63B236E8.png,电子商务,False,f,01-22,3,Fordeal,0,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_1k4o1gm4vkpy
False,上海,50-150人,False,data engineer 实习生,https://sxsimg.xiaoyuanzhao.com/67/80/6769EBB316A328280917EB3B97CB6A80.jpg,互联网 广告,False,f,01-22,6,Artefact,1,False,250,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_6m2bdan76q2t
False,北京,500-2000人,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/3D/31/3DFFD4ED4083B7B51971DC8210DEAD31.png,移动互联网,False,f,01-22,3,网易有道,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,4,250,inn_ezjwvz2njkdn
False,北京,2000人以上,False,软件开发工程师,https://sxsimg.xiaoyuanzhao.com/04/11/04C44C9C7187F8CF2A5239FAC0B95511.jpg,计算机/互联网,False,f,01-21,3,京东,1,False,250,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_muwmdix0ldzg
False,上海,2000人以上,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/57/57/57F680C0D050B0CCAAA912FC45A90357.png,计算机/互联网,False,f,01-20,8,安客诚信息,1,False,140,"{'is_ji': False, 'is_quick': False}",intern,4,120,inn_gotsiptkwv0d
False,上海,500-2000人,False,【日常实习】数据分析师,https://sxsimg.xiaoyuanzhao.com/A8/7F/A81B3D80F48E3D6552397E58561FC77F.png,互联网,False,f,01-19,3,PayPal,0,False,250,"{'is_ji': False, 'is_quick': False}",intern,4,180,inn_lsx5uqwicwom
False,全国,2000人以上,False,销售代表,https://sxsimg.xiaoyuanzhao.com/21/4F/21C2298926D6A3607B676DABB0CD764F.png,生活服务,False,f,01-19,12,乐有家,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,6,250,inn_zzhajnns8mpj
False,北京,500-2000人,False,安全工程师,https://sxsimg.xiaoyuanzhao.com/F2/D6/F2DCE183DB4D010C49348C45077FD9D6.png,计算机/互联网,False,f,01-19,12,中科院软件所,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,4,100,inn_4amfwd1dkfza
False,北京,15-50人,False,爬虫实习生,https://sxsimg.xiaoyuanzhao.com/6D/37/6D7648EC9FA131431533713E4611AD37.png,计算机/互联网,False,f,01-19,4,繁星数据,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,3,150,inn_0cqvw8t9h3k0
False,成都,500-2000人,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/8B/C8/8B631118D9A7261A28A53FB72C3CBBC8.png,"计算机/互联网,教育培训",False,f,01-17,4,西瓜创客,0,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,120,inn_tvny6amaq8xd
False,上海,500-2000人,False,数据挖掘分析实习生,https://sxsimg.xiaoyuanzhao.com/DD/1F/DD7635AB8D67AFB8898A122C516BAE1F.png,机械制造,False,f,01-17,12,米思米,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,3,184,inn_zkjcxeyk1b6i
False,北京,2000人以上,False,数据挖掘-ZP1910285902,https://sxsimg.xiaoyuanzhao.com/BB/E6/BBC038C4C47BAB855950E4845C3EA6E6.png,计算机/互联网,False,f,01-16,3,京东数科,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_gut6x9yiv89u
False,广州,2000人以上,False,金融数据研发实习生,https://sxsimg.xiaoyuanzhao.com/C9/36/C92F056DF28FF403C271AFEFED2EF536.jpg,金融,False,f,01-15,3,广发证券,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_qny7pnwsabge
False,上海,500-2000人,False,数据挖掘工程师,https://sxsimg.xiaoyuanzhao.com/DD/1F/DD7635AB8D67AFB8898A122C516BAE1F.png,机械制造,False,f,01-15,6,米思米,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,3,180,inn_ksz3lnipongo
False,北京,500-2000人,False,数据实习生,https://sxsimg.xiaoyuanzhao.com/4B/AB/4B1E22DB3BB29E116E8C6D4608FF01AB.png,互联网,False,f,01-14,3,乐元素,0,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,150,inn_hroomoch4qzh
False,北京,2000人以上,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/A2/BE/A2581FDAD592AE3A719D3F0B321E19BE.jpg,计算机/互联网,False,f,01-14,12,新浪,0,False,150,"{'is_ji': False, 'is_quick': False}",intern,4,100,inn_vluwuvoxxmcl
False,北京,2000人以上,False,数据分析实习生-Data Science Dep.,https://sxsimg.xiaoyuanzhao.com/88/B9/88810A20F8A647FA0CBF93FF048990B9.png,计算机/互联网,False,f,01-13,7,滴滴出行,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_gsitn3r9nfp8
False,常州,50-150人,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/04/50/0416C438CB831B9E82C0411D912BD550.png,教育培训,False,f,01-13,3,指南者教育,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,3,200,inn_6qhatrvrvabh
False,北京,50-150人,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/15/0D/1527658CDEBB04DCAE8F37E00AE1780D.png,专业服务(咨询/财会/法律/翻译等),False,f,01-13,7,瑞尼尔,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_2hclncbkdiiu
False,北京,2000人以上,False,社交内容数据挖掘助理研究员（中科院特别研究助理）,https://sxsimg.xiaoyuanzhao.com/DF/5A/DF3D1BB794AD5624D0FCA2995CC07D5A.jpg,计算机/互联网,False,f,01-11,12,中科院计算所,0,False,300,"{'is_ji': False, 'is_quick': False}",intern,1,150,inn_0y74jihbzy0p
False,北京,2000人以上,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/04/A8/04E0987794C4E687076E43E49C34B0A8.png,计算机/互联网,False,f,01-09,3,快手,0,False,250,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_78ewc4trndvh
False,广州,50-150人,False,语音数据标注员（粤语）,https://sxsimg.xiaoyuanzhao.com/7D/E7/7DA311B5B42CE8F261FE2115B49A3FE7.png,IT服务/系统集成,False,f,01-09,6,有光科技,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,100,inn_0qikvff4y23o
False,北京,15-50人,False,图形数据融合处理 - 数据分析工程师,https://sxsimg.xiaoyuanzhao.com/E2/84/E22E43789325CA1CCC1A73148D7EA784.png,计算机/互联网,False,f,01-09,5,惟德,1,False,400,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_dnluekjv8oy6
False,成都,2000人以上,False,数据分析,https://sxsimg.xiaoyuanzhao.com/BF/A0/BFC35B81764259089B7632BE0047DAA0.jpg,计算机软件,False,f,01-08,3,亚信科技,0,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_0hldmkvlrlkd
False,重庆,2000人以上,False,电渠运营（数据挖掘）,https://sxsimg.xiaoyuanzhao.com/BF/A0/BFC35B81764259089B7632BE0047DAA0.jpg,计算机软件,False,f,01-08,3,亚信科技,0,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_xn5ptrxns2se
False,上海,2000人以上,False,数据运营实习生,https://sxsimg.xiaoyuanzhao.com/8F/A4/8F3092020E2BD780AB678687603C02A4.png,教育培训,False,f,01-08,3,狄邦教育,1,False,180,"{'is_ji': False, 'is_quick': False}",intern,3,150,inn_tlt021pwbcyl
False,广州,150-500人,False,数据挖掘工程师（2020届校招）-广州-00204,https://sxsimg.xiaoyuanzhao.com/65/26/6573D4AD145EF9590DD65C3B4EA6C426.png,计算机/互联网,False,f,01-07,10,火烈鸟网络,1,False,250,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_dbn1jspzkcox
False,苏州,2000人以上,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/97/D1/977D1C1F90957D490C6E134B06DCDBD1.png,计算机/互联网,False,f,01-07,12,同程艺龙,0,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,180,inn_vde1topnhmc7
False,北京,500-2000人,False,数据分析实习生-供应链方向(亚太区),https://sxsimg.xiaoyuanzhao.com/B2/98/B2AB8BF973D4F4ABF00074FA0A44BA98.jpg,互联网,False,f,01-06,12,亚马逊中国,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,4,100,inn_hk35agewdo93
False,成都,2000人以上,False,数据运营实习生,https://sxsimg.xiaoyuanzhao.com/8F/DF/8F721E6CFC8BDB8FBE2DC6DAD3E8E4DF.png,"通信/电子 ,其它",False,f,01-06,6,亚信科技,0,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_s9gz4vesrjjw
False,佛山,2000人以上,False,数据产品经理——2020校招,https://sxsimg.xiaoyuanzhao.com/43/26/43F352C98F72D4F7ACAC21C63F534F26.jpg,计算机/互联网,False,f,01-03,4,林氏木业,0,False,300,"{'is_ji': False, 'is_quick': False}",intern,5,150,inn_swqt6pus0rhx
False,深圳,50-150人,False,数据挖掘工程师,https://sxsimg.xiaoyuanzhao.com/91/8E/91917A9A52CEFDA06635D7DBC34E568E.png,互联网/移动互联网/电子商务,False,f,01-02,4,华策辉弘,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_azszpac7aegv
False,深圳,15-50人,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/02/A3/02733184DB74761732D93DBC2879A6A3.png,计算机/互联网,False,f,12-25,5,司南数据,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_bpaslqikwnva
False,杭州,2000人以上,False,数据分析师,https://sxsimg.xiaoyuanzhao.com/E8/48/E811393AAE77394213AEEDF5F04D7A48.png,计算机/互联网,False,f,12-23,4,同花顺,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_jc6knu5ij4bf
False,东莞,500-2000人,False,信息技术岗,https://sxsimg.xiaoyuanzhao.com/B7/FD/B7F291CA51F0AEE8946A3D0943F2E9FD.png,保险,False,f,12-20,7,人保财险 ,1,False,50,"{'is_ji': False, 'is_quick': False}",intern,5,50,inn_r43rbuqgxqm1
False,北京,150-500人,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/76/C4/7694D8DE5A59B3EA983C4E448CBDE2C4.png,计算机/互联网,False,f,12-18,8,易观,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_coxljgemqyya
False,上海,2000人以上,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/99/B7/9934093BA0C3A665415E2CDAAAC7D5B7.jpeg,"计算机/互联网,金融",False,f,12-18,3,平安科技,0,False,300,"{'is_ji': False, 'is_quick': False}",intern,4,300,inn_ld9vmqbnzs0e
False,武汉,15-50人,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/C0/62/C058955AF33EEC2BA84DA02C750FE462.png,原材料及加工,False,f,12-11,3,Evolution,0,False,200,"{'is_ji': False, 'is_quick': False}",intern,3,200,inn_bhsgu6coshrk
False,北京,50-150人,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/ED/8E/ED15BF75072C255BF0164D3A62EC9F8E.jpg,"计算机/互联网,金融",False,f,12-10,10,熊猫科技,1,False,200,"{'is_ji': False, 'is_quick': False}",intern,4,150,inn_c0d0isbzvyme
False,广州,150-500人,False,数据分析实习生,https://sxsimg.xiaoyuanzhao.com/5B/88/5B5F01F24C330EABB7315A2557927288.png,"互联网,文化/传媒",False,f,12-10,4,南方新媒体,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,3,100,inn_dnzu9flbamvi
False,上海,150-500人,False,数据分析方向,https://sxsimg.xiaoyuanzhao.com/F1/1F/F1AA01777AA9CBA3182F1ED6D079191F.png,,False,f,12-09,9,萨摩耶金融,1,False,250,"{'is_ji': False, 'is_quick': False}",intern,5,200,inn_vtv6j4igezmj
False,上海,150-500人,False,数据挖掘方向,https://sxsimg.xiaoyuanzhao.com/F1/1F/F1AA01777AA9CBA3182F1ED6D079191F.png,,False,f,12-09,10,萨摩耶金融,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,4,200,inn_5ctpj1lqs3po
False,广州,50-150人,False,数据分析（BI方向）,https://sxsimg.xiaoyuanzhao.com/0C/E9/0C8A0B8642B4DB43298927B8C11F16E9.jpg,计算机/互联网,False,f,12-07,7,小黑屋科技,1,False,150,"{'is_ji': False, 'is_quick': False}",intern,5,100,inn_8x3tpe9iunmp
False,广州,2000人以上,False,集团总部-信息中心实习生（数据）,https://sxsimg.xiaoyuanzhao.com/BE/20/BE983C843C8662C555D1FDF02B422B20.jpg,,False,f,12-05,4,越秀集团,1,False,100,"{'is_ji': False, 'is_quick': False}",intern,4,99,inn_2sow3q4s2t1s
False,北京,15-50人,False,语音算法实习生,https://sxsimg.xiaoyuanzhao.com/81/72/81063A0D8707FAC61D4E02FB804D1072.png,IT服务/系统集成,False,f,12-02,12,rcrai,1,False,300,"{'is_ji': False, 'is_quick': False}",intern,3,200,inn_7f1hedid3pll
False,深圳,2000人以上,False,数据挖掘实习生,https://sxsimg.xiaoyuanzhao.com/69/8D/69D89E01806ACAEE6472C6D5D5C7CC8D.jpg,移动互联网,False,f,12-01,6,字节跳动,1,False,400,"{'is_ji': False, 'is_quick': False}",intern,3,400,inn_7h5ijlh9exhz
