,_id,id,atUsers,content,createTime,downCount,flags,parentComment,parentCommentId,picList,replyCount,upCount,user,userId,userIsLiked
21878,5e38e3d97991a9c22bd0263e,1000072087336,{},大佬帅帅的，雷哥也帅,1568946274262,0,{},{},0,[],0,0,"{'vipInfo': {}, 'userLevel': 4, 'avatarMiddle': 'https://image.9xsecndns.cn/image/uicon/13468f0eac127b3413b302037aa402abf1fcba6189de405.jpg?x-oss-process=image/resize,m_fill,h_50,w_50,limit_0', 'avatarLarge': 'https://image.9xsecndns.cn/image/uicon/13468f0eac127b3413b302037aa402abf1fcba6189de405.jpg?x-oss-process=image/resize,m_fill,h_310,w_310,limit_0', 'userName': '大佬的忠实鹤', 'userId': 1781853381, 'userCode': 'UNzEyNzQxMzUyNA==', 'avatarSmall': 'https://image.9xsecndns.cn/image/uicon/13468f0eac127b3413b302037aa402abf1fcba6189de405.jpg?x-oss-process=image/resize,m_fill,h_30,w_30,limit_0'}",1781853381,0
51303,5e38e5d47991a9c22bd10cdc,1000008786034,{},终于开播了，让本小姐等的好是辛苦,1561640998691,0,{},{},0,[],1,0,"{'vipInfo': {}, 'userLevel': 14, 'avatarMiddle': 'https://image.9xsecndns.cn/image/uicon/4b1f3c6a0300376b9987f8e43d42e998f2aedcb1c88535.png?x-oss-process=image/resize,m_fill,h_50,w_50,limit_0', 'avatarLarge': 'https://image.9xsecndns.cn/image/uicon/4b1f3c6a0300376b9987f8e43d42e998f2aedcb1c88535.png?x-oss-process=image/resize,m_fill,h_310,w_310,limit_0', 'userName': 'LLandkarry', 'userId': 1457234355, 'userCode': 'UNTgyODkzNzQyMA==', 'avatarSmall': 'https://image.9xsecndns.cn/image/uicon/4b1f3c6a0300376b9987f8e43d42e998f2aedcb1c88535.png?x-oss-process=image/resize,m_fill,h_30,w_30,limit_0'}",1457234355,0
16135,5e38e3727991a9c22bcff94c,1000118946209,{},感觉制作用心,1572841274444,0,{},{},0,[],0,0,"{'vipInfo': {}, 'userLevel': 3, 'avatarMiddle': 'https://tfs.alipayobjects.com/images/partner/images/partner/T1IVXXXb0bXXXXXXXX', 'avatarLarge': 'https://tfs.alipayobjects.com/images/partner/images/partner/T1IVXXXb0bXXXXXXXX', 'userName': '妥妥03856', 'userId': 1325028977, 'userCode': 'UNTMwMDExNTkwOA==', 'avatarSmall': 'https://tfs.alipayobjects.com/images/partner/images/partner/T1IVXXXb0bXXXXXXXX'}",1325028977,0
54858,5e38e6167991a9c22bd128c1,1000008830867,{},终于等到你，千玺。[爱心][爱心][爱心][爱心][爱心][爱心],1561638757803,0,{},{},0,[],1,0,"{'vipInfo': {}, 'userLevel': 18, 'avatarMiddle': 'https://image.9xsecndns.cn/image/uicon/528d27d8f5ce60c5a92969839b42b1a75da3fb8b63b0ea.jpg?x-oss-process=image/resize,m_fill,h_50,w_50,limit_0', 'avatarLarge': 'https://image.9xsecndns.cn/image/uicon/528d27d8f5ce60c5a92969839b42b1a75da3fb8b63b0ea.jpg?x-oss-process=image/resize,m_fill,h_310,w_310,limit_0', 'userName': '同济大学高材生', 'userId': 1711436466, 'userCode': 'UNjg0NTc0NTg2NA==', 'avatarSmall': 'https://image.9xsecndns.cn/image/uicon/528d27d8f5ce60c5a92969839b42b1a75da3fb8b63b0ea.jpg?x-oss-process=image/resize,m_fill,h_30,w_30,limit_0'}",1711436466,0
48956,5e38e5a97991a9c22bd0fa82,1000008835641,{},终于播了易烊千玺演技太赞了,1561645771929,0,{},{},0,[],1,2,"{'vipInfo': {'icon': 'https://gw.alicdn.com/tfs/TB1ng4kaAxz61VjSZFtXXaDSVXa-48-48.png', 'mmid': 100002, 'name': '优酷土豆黄金会员', 'state': '1', 'vipGrade': 5}, 'userLevel': 36, 'avatarMiddle': 'https://static.youku.com/lvip/img/avatar/50/21.png', 'avatarLarge': 'https://static.youku.com/lvip/img/avatar/310/21.png', 'userName': 'T极舒心战戟的', 'userId': 1078661260, 'userCode': 'UNDMxNDY0NTA0MA==', 'avatarSmall': 'https://static.youku.com/lvip/img/avatar/30/21.png'}",1078661260,0
13245,5e38e3437991a9c22bcfe275,1000123175603,{},帅呀,1573228542034,0,{},{},0,[],0,0,"{'vipInfo': {}, 'userLevel': 23, 'avatarMiddle': 'https://assets.alicdn.com/app/sns/img/default/avatar-120.png', 'avatarLarge': 'https://assets.alicdn.com/app/sns/img/default/avatar-120.png', 'userName': '稀疏西门滴越发M', 'userId': 1189469811, 'userCode': 'UNDc1Nzg3OTI0NA==', 'avatarSmall': 'https://assets.alicdn.com/app/sns/img/default/avatar-120.png'}",1189469811,0
24405,5e38e4047991a9c22bd03a04,1000040160472,{},良心剧,1566187420304,0,{},{},0,[],0,0,"{'vipInfo': {'icon': 'https://gw.alicdn.com/tfs/TB1ulhFbG1s3KVjSZFAXXX_ZXXa-48-48.png', 'mmid': 100002, 'name': '优酷土豆黄金会员', 'state': '1', 'vipGrade': 6}, 'userLevel': 27, 'avatarMiddle': 'https://static.youku.com/lvip/img/avatar/50/27.png', 'avatarLarge': 'https://static.youku.com/lvip/img/avatar/310/27.png', 'userName': '安菲尔德小丸子', 'userId': 1105139906, 'userCode': 'UNDQyMDU1OTYyNA==', 'avatarSmall': 'https://static.youku.com/lvip/img/avatar/30/27.png'}",1105139906,0
14489,5e38e3567991a9c22bcfec45,1000121363743,{},雷佳音帅！,1573080910500,0,{},{},0,[],0,0,"{'vipInfo': {}, 'userLevel': 13, 'avatarMiddle': 'https://static.youku.com/user/img/avatar/50/35.jpg', 'avatarLarge': 'https://static.youku.com/user/img/avatar/310/35.jpg', 'userName': 'kiss0809', 'userId': 333586249, 'userCode': 'UMTcyODAyOTMy', 'avatarSmall': 'https://static.youku.com/user/img/avatar/30/35.jpg'}",333586249,0
6457,5e38e2e07991a9c22bcfad60,1000146650635,{},雷佳音,1575215848918,0,{},{},0,[],0,0,"{'vipInfo': {'icon': 'https://gw.alicdn.com/tfs/TB1mVJDbRKw3KVjSZFOXXarDVXa-48-48.png', 'mmid': 100002, 'name': '优酷土豆黄金会员', 'state': '1', 'vipGrade': 2}, 'userLevel': 30, 'avatarMiddle': 'https://r1.ykimg.com/051000005CBDBCCF1B6A8D5DBA09723A', 'avatarLarge': 'https://r1.ykimg.com/051000005CBDBCCE1B6A8D56080295A7', 'userName': '12541微笑15241', 'userId': 1318610390, 'userCode': 'UNTI3NDQ0MTU2MA==', 'avatarSmall': 'https://r1.ykimg.com/051000005CBDBCCF1B6A8D510007EC91'}",1318610390,0
30538,5e38e4707991a9c22bd06a02,1000024924202,{},12时辰，24个小时，48集，每集45分钟。压缩成2个小时的电影还是不错的。,1564887692552,0,{},{},0,[],1,1,"{'vipInfo': {'icon': 'https://gw.alicdn.com/tfs/TB1ulhFbG1s3KVjSZFAXXX_ZXXa-48-48.png', 'mmid': 100006, 'name': '优酷土豆钻石会员', 'state': '1', 'vipGrade': 6}, 'userLevel': 68, 'avatarMiddle': 'https://r1.ykimg.com/0130391F4551559727224704182D0CBE8C98CF-8380-0151-F61C-E1807023C0A1', 'avatarLarge': 'https://r1.ykimg.com/0130391F455155972636FC04182D0CE1375A2B-956C-5443-0A43-71CC7C072245', 'userName': '我来自五星', 'userId': 521628703, 'userCode': 'UMjc0NzczMDQw', 'avatarSmall': 'https://r1.ykimg.com/0130391F4551559728102C04182D0C6E4784D4-7E8D-0A06-1791-F5F1FE7E62D2'}",521628703,0
